frame_tooltip,,,x_tooltip,y_tooltip,
894.0,Vitrector_tooltip,0,1088,474,0.777115
894.0,Vitrector_tooltip,0,1075,473,0.65657777
898.0,Vitrector_tooltip,0,996,452,0.17935438
898.0,Vitrector_tooltip,0,1047,469,0.1921276
900.0,Vitrector_tooltip,0,1044,468,0.18281823
900.0,Vitrector_tooltip,0,996,451,0.29588526
902.0,Vitrector_tooltip,0,995,451,0.31815618
902.0,Vitrector_tooltip,0,993,454,0.44412312
904.0,Vitrector_tooltip,0,988,454,0.71263784
908.0,Vitrector_tooltip,0,996,457,0.57518256
908.0,Vitrector_tooltip,0,992,456,0.87708676
910.0,Vitrector_tooltip,0,992,456,0.87557983
912.0,Vitrector_tooltip,0,991,455,0.9409551
914.0,Vitrector_tooltip,0,991,454,0.9717157
916.0,Vitrector_tooltip,0,987,452,0.951926
920.0,Vitrector_tooltip,0,986,450,0.91899616
922.0,Vitrector_tooltip,0,984,449,0.84728825
924.0,Vitrector_tooltip,0,979,449,0.7054144
926.0,Vitrector_tooltip,0,969,443,0.46514082
928.0,Vitrector_tooltip,0,967,442,0.6541336
930.0,Vitrector_tooltip,0,966,442,0.87827295
932.0,Vitrector_tooltip,0,966,440,0.89290893
932.0,Vitrector_tooltip,0,963,438,0.9777245
936.0,Vitrector_tooltip,0,959,435,0.9584769
936.0,Vitrector_tooltip,0,957,432,0.86343807
938.0,Vitrector_tooltip,0,954,425,0.92430073
942.0,Vitrector_tooltip,0,948,420,0.9409419
944.0,Vitrector_tooltip,0,946,417,0.7939248
946.0,Vitrector_tooltip,0,947,415,0.7655709
946.0,Vitrector_tooltip,0,948,412,0.6105398
948.0,Vitrector_tooltip,0,948,409,0.7614395
950.0,Vitrector_tooltip,0,950,407,0.85255957
952.0,Vitrector_tooltip,0,947,404,0.70223343
954.0,Vitrector_tooltip,0,947,401,0.59853226
956.0,Vitrector_tooltip,0,945,398,0.2211858
958.0,Vitrector_tooltip,0,943,396,0.16352427
960.0,Vitrector_tooltip,0,944,396,0.12730001
964.0,Vitrector_tooltip,0,942,393,0.14449441
966.0,Vitrector_tooltip,0,941,390,0.46264085
968.0,Vitrector_tooltip,0,937,387,0.82573575
970.0,Vitrector_tooltip,0,934,387,0.8768809
974.0,Vitrector_tooltip,0,934,387,0.9263925
976.0,Vitrector_tooltip,0,928,388,0.934495
978.0,Vitrector_tooltip,0,926,387,0.9139037
980.0,Vitrector_tooltip,0,924,389,0.8499904
982.0,Vitrector_tooltip,0,922,388,0.8439703
984.0,Vitrector_tooltip,0,921,388,0.7598772
